GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
43237	Johnston City, IL Urban Cluster	C	4038846	359	1.559	0.	37.81807	-88.927179                                                                                                                        
43253	Johnstown, CO Urban Cluster	C	15478619	154851	5.976	0.06	40.329816	-104.908258                                                                                                                    
43264	Johnstown, OH Urban Cluster	C	4056584	4628	1.566	0.002	40.150806	-82.688762                                                                                                                       
43291	Johnstown, PA Urbanized Area	U	100019423	897132	38.618	0.346	40.303346	-78.897085                                                                                                                 
43345	Jonesboro, AR Urbanized Area	U	121638627	658696	46.965	0.254	35.831693	-90.68614                                                                                                                  
43372	Jonesboro, LA Urban Cluster	C	11497148	81913	4.439	0.032	32.250263	-92.714115                                                                                                                     
43383	Jones Creek, TX Urban Cluster	C	6479389	8976	2.502	0.003	28.976177	-95.477913                                                                                                                     
43399	Joplin, MO Urbanized Area	U	166871340	539813	64.429	0.208	37.101212	-94.499217                                                                                                                    
43426	Jordan, MN Urban Cluster	C	5910217	58600	2.282	0.023	44.661476	-93.633371                                                                                                                         
43453	Juana Díaz, PR Urbanized Area	U	123883729	3659560	47.832	1.413	18.115976	-66.550998                                                                                                               
43480	Junction, TX Urban Cluster	C	6154721	40206	2.376	0.016	30.490759	-99.773222                                                                                                                       
43507	Junction City, KS Urban Cluster	C	58113333	218295	22.438	0.084	39.060885	-96.802845                                                                                                               
43534	Junction City, OR Urban Cluster	C	5471423	0	2.113	0.	44.216679	-123.207227                                                                                                                        
43561	Juneau, AK Urban Cluster	C	36452581	2450381	14.074	0.946	58.352315	-134.58275                                                                                                                     
43571	Juneau, WI Urban Cluster	C	2775085	0	1.071	0.	43.407624	-88.702925                                                                                                                                
43595	Jupiter Farms, FL Urban Cluster	C	28110711	7303	10.854	0.003	26.917483	-80.219011                                                                                                                 
43604	Justin, TX Urban Cluster	C	4232724	2297	1.634	0.001	33.082294	-97.299874                                                                                                                          
43615	Kahului, HI Urbanized Area	U	43589338	121126	16.83	0.047	20.886428	-156.477892                                                                                                                    
43642	Kailua (Hawaii County)--Holualoa, HI Urban Cluster	C	37145486	0	14.342	0.	19.646601	-155.994395                                                                                                   
43669	Kailua (Honolulu County)--Kaneohe, HI Urbanized Area	U	101162563	1344201	39.059	0.519	21.388604	-157.770666                                                                                       
43696	Kalaheo, HI Urban Cluster	C	20537988	265946	7.93	0.103	21.918559	-159.518733                                                                                                                      
43711	Kalama, WA Urban Cluster	C	12671746	84269	4.893	0.033	46.004464	-122.835171                                                                                                                       
43723	Kalamazoo, MI Urbanized Area	U	340937488	14922861	131.637	5.762	42.250182	-85.592401                                                                                                              
43777	Kalispell, MT Urban Cluster	C	45175181	510731	17.442	0.197	48.218111	-114.30094                                                                                                                   
43804	Kalkaska, MI Urban Cluster	C	6071427	242773	2.344	0.094	44.739164	-85.171889                                                                                                                      
43818	Kamas, UT Urban Cluster	C	6639677	0	2.564	0.	40.62645	-111.274528                                                                                                                                 
43831	Kanab, UT Urban Cluster	C	6242855	25372	2.41	0.01	37.043823	-112.525303                                                                                                                           
43858	Kane, PA Urban Cluster	C	3535049	2286	1.365	0.001	41.661994	-78.80885                                                                                                                             
43885	Kankakee, IL Urbanized Area	U	96284173	2209694	37.176	0.853	41.150152	-87.862319                                                                                                                  
43912	Kansas City, MO--KS Urbanized Area	U	1755756601	18059053	677.901	6.973	39.039792	-94.594897                                                                                                       
43939	Kapaa, HI Urban Cluster	C	35580031	84054	13.738	0.032	22.092806	-159.352501                                                                                                                       
43966	Kapaau, HI Urban Cluster	C	10534940	19078	4.068	0.007	20.231224	-155.810776                                                                                                                       
43993	Kaplan, LA Urban Cluster	C	5602237	0	2.163	0.	30.004649	-92.284743                                                                                                                                
44020	Karnes City, TX Urban Cluster	C	4875913	1269	1.883	0.	28.886855	-97.899402                                                                                                                        
44047	Kasson, MN Urban Cluster	C	11204462	80895	4.326	0.031	44.043779	-92.754207                                                                                                                        
44074	Kaufman, TX Urban Cluster	C	8674878	0	3.349	0.	32.576599	-96.304453                                                                                                                               
44128	Kayenta, AZ Urban Cluster	C	6663406	56226	2.573	0.022	36.72206	-110.252112                                                                                                                        
44155	Kearney, MO Urban Cluster	C	9166614	0	3.539	0.	39.362116	-94.358279                                                                                                                               
44182	Kearney, NE Urban Cluster	C	34567797	192273	13.347	0.074	40.708058	-99.071434                                                                                                                     
44209	Keene, NH Urban Cluster	C	27905408	436639	10.774	0.169	42.938912	-72.288129                                                                                                                       
